N,M,Result
945,26,592
752,48,128
894,29,90
566,58,356
220,8,189
496,82,490
738,54,398
992,44,398
985,4,263
990,64,804
328,80,171
617,31,172
592,90,183
823,90,640
731,58,241
324,53,279
883,7,528
348,79,292
963,24,366
571,98,23
649,76,530
323,22,189
12,10,5
3,2,3
56,1,56
342,32,339
710,27,63
919,42,109
931,45,801
267,78,35
999,70,13
438,21,194
810,33,255
678,78,179
236,40,189
144,60,96
887,68,282
327,14,284
985,92,435
628,67,497
748,3,647
140,23,18
378,71,73
350,18,335
191,60,81
681,66,101
936,73,652
463,39,261
98,88,8
79,38,61
350,78,24
480,17,160
767,35,740
510,91,176
961,65,484
393,77,94
246,2,237
659,41,237
616,96,448
367,85,232
640,59,460
376,45,208
185,46,144
898,34,385
492,84,24
141,13,136
257,96,91
350,37,8
125,78,59
801,31,187
401,19,233
73,59,7
260,97,119
696,95,78
385,99,107
505,24,114
223,78,47
527,16,236
337,82,179
417,88,185
600,40,361
588,6,220
836,90,149
545,71,523
148,80,57
652,65,326
260,29,247
965,44,193
83,69,33
63,39,1
877,39,120
317,24,95
901,54,188
954,67,551
391,14,109
321,20,247
253,99,248
236,66,197
532,93,11
512,50,291
587,33,503
642,41,194
678,64,537
969,11,181
388,21,371
11,10,7
296,9,295
645,38,195
439,17,377
751,93,666
645,47,465
151,15,55
456,63,340
739,81,11
105,43,22
78,3,25
673,35,309
603,84,13
142,40,113
805,7,790
902,89,303
372,67,3
300,90,164
673,96,116
491,95,82
715,70,559
82,65,7
383,20,78
963,57,670
950,58,370
287,90,169
195,85,59
878,96,485
4,1,4
733,74,208
485,10,99
258,57,96
780,20,41
843,53,10
245,84,229
174,39,168
42,20,13
467,64,66
504,11,170
111,2,95
88,76,29
851,46,101
860,94,756
242,76,105
975,64,822
27,10,26
535,15,352
680,57,33
291,41,86
591,11,589
775,68,164
785,66,355
575,71,421
860,52,698
9,3,1
116,52,97
230,2,205
946,40,542
646,80,223
494,81,308
907,2,791
794,3,785
321,19,151
535,33,452
847,92,543
411,13,121
540,47,253
812,34,45
757,89,632
322,96,273
890,51,78
772,97,269
990,67,37
396,48,291
471,23,175
265,11,160
218,45,76
724,66,113
207,98,53
878,37,494
499,14,284
71,12,64
974,21,788
988,58,635
4,4,2
343,27,287
879,80,716
570,9,321
921,42,193
265,84,124
316,94,113
609,66,510
985,17,176
280,99,266
767,53,41
659,33,405
436,52,373
577,63,254
87,57,14
791,59,79
352,5,26
973,5,628
216,52,163
265,55,205
566,78,161
476,32,185
350,72,159
242,64,110
835,87,39
216,59,57
742,85,44
549,10,211
597,95,373
802,55,36
50,21,8
60,49,34
543,66,181
578,1,578
544,69,465
683,2,343
379,39,329
996,24,169
258,76,66
725,66,179
896,18,352
916,13,274
4,1,4
465,80,110
689,89,351
757,87,431
782,7,629
161,22,105
525,9,451
788,27,670
455,5,107
180,3,68
634,36,578
946,44,318
71,43,49
3,1,3
330,60,293
396,7,159
423,77,364
912,27,658
773,11,632
356,89,47
846,49,435
995,8,145
248,81,60
160,40,78
391,58,152
869,29,256
440,54,393
880,31,87
710,33,23
749,37,573
958,99,952
74,57,5
899,74,249
336,10,245
704,51,181
423,44,150
790,35,777
295,36,233
680,3,443
778,38,255
636,94,437
291,45,50
461,45,282
266,9,25
386,99,206
627,17,461
932,47,767
207,92,183
970,78,2
682,37,237
543,94,499
627,21,493
276,74,159
450,87,278
573,60,394
721,84,674
706,6,266
456,35,18
434,58,164
444,57,439
943,70,5
325,18,217
474,24,351
800,13,488
835,22,818
344,15,91
535,22,225
596,32,275
933,90,930
602,85,244
248,45,17
897,23,763
203,84,54
851,43,808
595,66,188
144,100,51
675,94,166
562,22,269
285,7,76
58,41,14
48,3,5
673,82,562
668,99,337
346,100,128
527,87,140
867,12,502
27,6,16
653,52,419
842,6,287
814,58,416
804,70,748
892,12,802
167,34,27
258,55,82
413,77,13
184,10,3
383,40,341
816,34,181
789,57,351
99,44,34
666,36,440
383,13,159
342,83,17
394,83,281
224,88,34
748,75,242
309,29,267
274,100,53
439,31,399
585,20,265
871,21,454
813,88,658
449,59,449
463,59,368
12,2,9
229,86,24
464,89,257
644,33,557
455,48,147
640,3,323
145,47,66
49,19,43
645,22,282
205,32,185
753,42,646
108,82,8
131,31,13
50,2,37
642,35,535
59,51,28
832,35,642
136,47,66
46,17,37
451,19,338
781,77,570
448,47,356
986,27,776
926,78,378
51,2,39
180,29,89
148,32,99
539,11,17
624,34,151
779,27,427
704,84,664
221,17,124
164,15,92
876,20,279
752,13,627
531,3,529
244,26,33
805,32,741
427,51,14
529,4,49
870,56,460
103,76,16
49,15,7
327,58,40
964,4,179
701,46,212
750,6,530
837,74,22
297,3,182
354,85,208
64,58,45
702,89,114
215,69,79
14,8,7
658,26,264
265,8,67
184,5,33
549,28,282
679,87,115
893,10,882
385,48,153
816,53,249
205,79,76
279,54,154
847,67,569
639,2,255
628,10,414
525,51,240
896,77,208
752,91,348
177,32,51
260,11,105
877,81,691
255,39,163
470,41,322
957,94,827
516,35,157
790,91,727
475,17,75
340,22,233
397,78,327
769,85,59
753,25,197
516,28,417
549,4,129
220,63,59
796,93,212
967,92,730
523,15,172
646,93,624
531,38,7
46,10,43
852,19,433
437,23,301
296,21,124
722,37,308
400,44,370
729,66,443
224,17,175
102,99,83
634,43,285
630,95,444
798,38,222
510,49,505
77,72,42
898,52,31
105,81,29
378,8,341
463,73,328
17,12,13
996,81,23
54,25,53
404,26,392
698,50,622
120,48,20
918,56,466
108,3,10
854,96,773
174,32,131
208,87,202
778,28,69
492,80,354
339,99,258
922,10,277
570,83,78
430,76,330
513,48,7
161,54,33
354,10,78
809,31,435
553,1,553
245,57,112
99,68,64
627,83,621
82,44,15
472,99,154
171,28,85
491,57,327
385,93,56
750,50,335
145,74,57
419,71,186
385,96,343
489,6,178
888,75,85
610,16,434
382,55,255
858,33,157
566,63,134
454,11,109
316,18,55
859,38,31
652,9,457
463,45,372
494,90,61
271,81,100
271,74,63
309,17,22
448,63,287
66,50,35
416,71,390
479,86,48
756,20,339
375,99,259
416,24,282
903,64,880
25,9,4
500,7,451
133,62,77
774,88,396
664,86,662
532,85,517
787,38,597
87,20,35
380,35,288
626,45,132
414,98,302
198,53,11
543,23,309
354,29,259
335,23,239
347,2,183
666,84,209
284,60,275
787,43,496
488,86,337
411,39,404
818,98,53
398,12,255
634,71,389
267,77,189
561,34,382
322,9,232
289,9,232
331,58,272
695,9,167
555,95,409
566,8,521
339,89,274
896,86,537
76,48,44
426,50,204
545,95,10
425,11,235
566,17,24
147,30,69
736,58,531
126,53,51
447,89,113
597,36,465
146,63,104
648,27,436
710,90,402
141,5,138
114,63,35
299,98,14
67,62,43
603,55,310
585,28,151
244,19,100
241,34,100
138,6,61
760,77,491
262,19,189
244,24,38
680,79,250
293,50,287
20,2,9
663,86,576
764,12,92
637,78,277
141,96,24
476,60,315
446,54,276
755,66,680
890,83,772
579,89,73
202,14,77
217,68,86
304,25,20
1000,24,265
498,90,421
365,35,135
440,36,422
15,15,4
204,76,117
422,10,373
491,43,292
466,40,292
738,26,240
296,15,25
2,2,1
593,77,402
756,89,543
248,92,96
888,29,807
888,51,865
542,5,542
172,80,52
215,43,121
814,93,271
745,20,119
735,40,449
372,90,288
91,71,7
613,90,261
98,53,28
647,43,201
293,82,42
733,88,552
920,100,538
427,37,117
708,72,546
333,54,1
215,18,97
372,79,25
633,61,574
565,40,129
624,88,423
427,47,242
111,5,102
37,20,33
107,86,27
296,20,56
572,91,411
27,2,23
878,26,660
567,60,34
511,68,63
580,68,386
408,59,166
536,55,53
802,84,656
657,53,612
80,50,79
204,3,140
764,100,81
878,77,598
102,7,64
157,75,34
36,1,36
627,60,25
652,16,484
522,86,231
804,54,94
368,23,303
475,41,53
327,73,172
3,2,3
713,76,649
405,38,352
580,65,556
806,26,461
959,16,687
42,15,40
162,68,117
589,18,31
387,54,13
606,28,137
861,75,687
267,32,55
373,25,26
590,88,461
504,49,211
831,21,464
882,70,320
680,97,75
732,33,17
185,70,181
810,56,458
152,42,87
526,10,509
480,59,433
686,86,537
809,20,621
505,85,290
508,17,135
976,29,589
905,6,665
514,83,317
545,79,5
60,9,30
519,94,361
329,17,35
78,62,73
558,98,445
384,67,45
873,47,685
50,43,47
456,10,285
433,27,433
709,94,594
63,22,38
271,10,188
328,29,185
497,8,470
879,5,158
19,16,5
36,21,17
10,8,1
948,59,648
803,15,432
319,37,207
927,55,866
256,51,61
344,35,113
993,88,298
378,19,185
860,7,367
329,19,303
468,29,315
470,24,255
998,29,237
382,6,379
957,40,25
455,59,353
153,70,125
79,52,11
601,24,187
548,74,505
948,78,214
432,35,77
76,41,8
806,10,12
303,30,230
908,14,580
721,2,419
95,21,19
280,51,212
610,72,78
250,84,154
449,5,77
15,12,5
790,32,261
411,93,75
380,24,211
981,19,108
164,17,108
222,12,208
818,41,85
623,86,345
116,2,105
326,81,68
586,9,465
861,39,370
478,29,131
373,51,81
894,1,894
590,63,490
550,61,227
458,21,163
285,15,155
397,56,9
615,56,178
882,32,702
611,52,134
176,13,128
417,42,149
814,74,798
365,65,41
387,2,263
756,41,691
829,68,627
661,96,301
815,19,560
200,9,137
796,7,727
172,64,142
322,4,126
204,80,171
205,83,186
340,68,224
705,97,418
776,84,52
169,56,120
113,10,47
632,7,272
301,45,203
381,93,69
568,57,505
249,38,166
307,1,307
344,67,279
52,25,3
164,96,91
475,66,276
186,20,28
777,25,20
210,71,174
373,22,251
21,6,5
371,27,338
425,97,339
412,19,31
582,85,323
226,95,217
167,80,162
946,76,233
805,56,178
604,24,259
185,71,169
881,63,768
890,92,150
435,41,241
6,6,4
152,55,85
995,96,490
795,87,639
52,45,46
206,62,84
13,11,4
369,29,336
43,23,34
744,89,225
394,30,193
474,99,352
375,78,153
536,2,49
973,76,360
7,1,7
725,72,338
551,65,360
435,48,82
573,10,451
260,91,118
309,42,288
714,35,356
605,64,341
536,1,536
195,4,127
932,52,883
822,23,729
683,31,258
99,1,99
518,93,289
255,63,120
36,19,8
192,53,86
636,29,258
577,79,280
967,59,815
897,10,27
689,24,358
198,4,139
183,18,116
632,27,4
771,1,771
396,70,301
415,53,347
964,8,874
855,48,225
709,7,118
712,18,266
288,24,13
474,7,269
644,98,491
102,57,10
596,95,278
963,59,579
866,14,859
949,38,733
296,20,56
405,54,188
916,43,68
559,42,283
842,71,507
442,31,51
320,23,219
310,61,239
137,40,53
585,98,235
595,95,183
390,22,246
849,21,842
654,46,96
257,65,133
519,15,112
810,95,355
358,64,101
121,29,25
808,48,469
339,52,310
167,22,73
167,34,27
154,52,57
595,100,149
39,22,17
978,11,280
584,74,347
153,19,123
88,63,20
343,57,147
309,94,82
850,34,501
221,96,215
47,20,23
282,89,152
454,22,405
54,52,38
28,20,15
927,47,532
51,24,29
456,10,285
308,44,178
169,84,1
299,100,259
440,86,372
291,35,165
547,51,289
89,86,51
387,45,323
225,56,126
557,91,176
25,25,8
246,45,175
280,31,60
639,81,204
809,82,668
548,13,483
709,33,700
468,72,92
637,83,188
306,43,161
252,100,223
332,61,302
395,52,306
319,69,108
155,31,34
103,51,43
597,47,76
552,8,409
905,95,824
252,10,251
619,8,372
279,92,40
776,34,419
757,90,226
736,24,47
648,63,446
337,63,292
761,9,761
972,15,295
712,95,184
16,4,1
252,87,135
938,49,485
742,61,381
465,64,404
579,24,253
329,88,240
330,16,66
866,4,707
336,68,289
222,80,120
460,89,363
944,38,543
251,90,153
498,91,96
608,16,402
830,41,577
831,69,712
544,59,119
592,72,585
340,57,317
484,96,348
943,72,236
403,25,388
964,100,222
210,84,19
659,100,269
630,91,285
944,97,703
253,10,8
333,65,68
309,83,213
199,75,165
730,47,345
711,31,428
185,60,98
522,51,87
692,13,551
989,84,302
622,59,31
408,27,175
930,41,278
30,1,30
156,96,124
543,60,266
679,97,658
113,32,21
342,50,213
471,25,367
653,52,419
147,92,95
838,82,583
511,69,293
18,13,10
625,100,88
735,59,595
632,95,2
562,22,269
718,1,718
46,18,28
458,52,178
433,11,323
308,51,173
378,64,276
113,25,104
788,74,471
786,36,423
584,9,447
904,77,824
382,56,339
794,22,714
691,58,65
536,42,410
373,5,131
256,91,13
481,64,7
739,17,329
438,67,374
474,93,168
508,93,384
944,94,554
70,41,56
365,85,62
447,12,431
853,35,539
649,94,374
688,84,17
557,85,473
710,38,638
225,18,55
290,83,134
965,83,520
361,41,3
171,5,146
261,90,26
504,36,390
499,48,351
161,48,13
6,5,1
283,26,257
189,31,47
794,90,451
147,36,17
943,19,362
697,20,602
8,4,6
718,88,678
671,25,296
834,42,78
573,47,127
823,89,188
437,62,255
434,22,401
195,93,66
825,84,146
619,41,511
10,4,5
25,5,8
256,36,196
265,56,165
238,97,225
666,28,546
463,80,414
939,16,367
618,72,36
536,59,189
47,1,47
232,52,98
791,28,433
311,55,148
879,48,508
19,6,14
112,77,51
455,69,288
610,79,517
348,23,198
171,28,85
645,1,645
705,72,330
98,28,23
993,2,963
416,30,37
617,39,375
517,82,188
1000,32,749
989,29,966
305,25,45
613,51,168
702,87,34
752,51,441
772,84,492
353,50,66
634,56,619
277,73,141
890,57,218
384,11,188
648,95,237
899,94,20
63,6,9
654,95,154
844,96,659
355,56,293
897,95,64
126,13,72
117,43,93
40,6,28
547,50,458
514,84,360
256,42,35
844,11,625
576,84,115
590,11,578
318,50,7
520,35,297
642,25,231
471,10,435
982,87,64
946,9,807
368,31,199
604,18,301
739,17,329
749,55,242
58,2,53
446,11,21
965,26,152
864,53,263
84,30,2
397,81,18
207,93,176
966,86,25
963,37,897
283,71,232
381,43,315
953,72,3
414,89,196
256,44,140
283,95,49
97,32,39
723,45,446
386,24,355
642,89,168
624,77,357
427,19,316
940,87,269
99,18,92
948,38,695
331,38,105
809,25,11
275,93,19
53,49,32
471,6,70
235,39,118
190,17,13
238,59,220
336,95,124
183,48,27
485,88,314
85,13,58
166,59,153
789,99,701
426,85,91
853,74,357
831,54,734
840,80,176
963,21,557
166,94,52
220,48,191
83,18,71
801,35,371
191,16,143
614,40,314
471,31,23
60,10,26
390,52,46
800,52,71
474,92,271
939,47,160
849,26,759
907,1,907
990,36,716
198,100,188
952,8,778
237,64,31
198,92,164
485,8,374
400,3,136
22,3,5
598,31,195
278,27,78
783,69,614
363,100,49
565,35,243
472,2,433
301,51,121
256,81,203
536,51,270
54,3,23
385,85,259
878,94,715
386,98,351
887,27,871
673,89,291
749,52,525
163,31,122
656,43,588
617,36,584
464,58,100
984,97,735
151,78,9
44,27,30
778,11,687
144,30,124
892,75,385
284,32,42
420,23,334
742,53,235
211,57,7
93,40,14
746,89,403
280,70,201
698,33,337
655,15,385
425,53,35
877,86,673
280,7,41
885,30,298
973,12,873
62,29,15
433,49,26
106,100,1
874,69,271
743,99,725
461,47,56
430,98,181
285,56,187
713,9,329
119,26,105
277,70,269
41,16,1
846,77,712
95,7,15
232,46,12
965,75,278
768,100,481
929,100,514
675,5,664
679,73,300
573,98,219
303,9,61
915,9,528
731,22,90
73,51,11
390,4,10
182,77,86
337,61,274
467,100,81
196,3,116
190,23,185
128,10,76
384,24,307
628,9,241
353,13,140
844,96,659
902,82,622
811,13,631
130,71,15
880,37,568
870,15,607
833,46,122
437,84,71
562,37,164
577,37,145
857,82,447
223,11,177
118,41,100
628,38,189
158,9,109
43,20,33
782,53,55
572,10,441
807,85,121
931,24,546
131,43,75
360,26,11
191,35,14
917,17,913
395,52,306
194,96,108
737,3,614
596,62,386
71,37,1
450,25,299
758,67,222
150,35,115
21,18,2
784,14,516
280,62,69
707,43,53
830,69,643
762,21,595
17,13,15
786,12,356
973,36,104
193,11,54
231,30,177
723,57,371
965,26,152
791,84,527
97,30,25
500,10,249
402,47,307
27,13,14
305,96,207
730,99,174
773,90,131
928,77,849
1000,86,982
480,51,450
435,17,309
243,44,69
625,61,86
458,9,323
690,34,420
16,8,7
758,93,565
297,11,236
308,42,246
393,27,172
456,19,433
350,30,350
692,81,505
936,36,687
103,28,62
101,55,39
726,100,24
349,24,195
281,76,194
972,80,782
987,5,698
855,73,118
160,71,113
18,14,3
469,84,26
429,41,425
852,45,781
586,70,566
472,23,198
862,34,48
418,99,155
992,1,992
167,93,10
782,68,640
979,73,930
338,86,110
960,26,22
632,74,249
75,69,37
183,82,159
239,17,202
207,44,68
654,82,330
189,51,179
789,44,353
138,86,128
268,18,80
817,46,217
823,47,35
480,29,189
154,40,152
939,3,421
725,19,381
25,1,25
356,68,270
48,26,44
494,43,421
184,49,117
729,47,298
855,73,118
958,30,645
304,85,225
451,54,96
101,30,45
14,12,8
600,88,150
42,38,12
993,56,856
583,63,49
608,13,109
13,7,6
908,18,568
127,55,102
571,31,523
10,7,9
39,11,25
141,74,49
33,11,30
368,58,334
377,85,339
190,7,123
451,37,121
208,77,137
356,51,308
916,41,628
268,11,193
137,36,86
768,31,729
860,73,483
206,80,126
382,29,342
927,49,875
587,22,243
509,45,6
249,75,120
398,14,207
92,10,44
841,38,206
983,8,49
190,39,65
454,66,282
462,67,184
160,92,60
639,14,573
489,44,320
750,95,127
43,28,34
652,42,577
654,97,231
200,28,158
655,98,270
620,35,392
13,2,11
755,98,193
341,59,316
48,1,48
957,69,500
631,72,345
658,8,29
613,27,123
149,29,17
212,6,166
838,77,96
209,22,51
939,31,72
360,44,125
933,41,401
614,12,379
184,52,94
955,99,655
817,1,817
527,17,458
209,79,185
250,28,228
861,19,604
749,72,594
163,84,162
487,30,357
823,96,310
421,45,243
471,32,25
534,72,332
381,71,286
298,68,231
448,47,356
97,20,50
140,11,129
254,15,222
995,87,202
600,91,23
246,79,162
378,51,336
601,69,405
665,95,539
369,30,206
402,33,229
733,89,722
371,96,133
800,82,731
920,99,8
864,89,457
645,95,598
449,59,449
884,1,884
563,1,563
684,43,460
467,25,267
617,23,272
210,58,149
866,47,356
315,75,305
867,38,335
457,24,403
99,53,81
839,57,766
786,56,704
940,3,424
125,50,117
825,27,52
363,49,190
955,67,618
419,68,310
946,62,39
4,1,4
226,17,209
587,26,288
388,87,313
937,40,182
995,12,154
671,80,243
177,75,22
647,18,453
864,88,112
469,64,194
953,24,126
314,69,81
230,40,181
336,64,87
847,99,738
871,53,634
977,5,648
324,16,296
367,55,179
410,11,70
974,99,609
304,48,58
175,47,31
849,74,61
271,29,35
925,97,725
110,16,24
711,29,413
477,27,269
979,85,459
355,6,217
140,4,71
511,63,436
290,30,136
820,15,687
361,70,122
482,54,369
73,28,14
427,65,95
572,63,512
671,15,625
727,47,204
270,52,60
312,72,77
459,76,317
333,86,17
207,91,181
90,23,22
34,16,5
990,59,215
471,87,263
719,34,707
106,47,100
329,83,282
184,90,163
311,26,96
575,34,291
101,10,36
447,31,206
287,93,5
661,95,159
34,21,11
827,30,280
721,17,23
411,32,317
173,56,1
92,19,39
396,50,344
348,17,10
451,85,12
577,28,507
728,53,231
826,71,206
818,10,132
815,76,814
916,41,628
204,86,50
116,89,19
651,37,424
51,46,22
625,48,245
111,58,18
252,38,28
13,3,13
203,98,73
6,5,1
161,49,28
686,74,286
83,35,36
686,32,607
114,80,81
148,100,11
99,28,51
568,95,524
992,87,934
847,96,101
370,51,300
111,53,87
97,83,39
621,70,617
374,58,313
615,43,96
797,56,532
165,33,113
64,2,1
152,1,152
202,62,41
630,39,258
580,38,187
916,89,640
805,96,214
858,83,728
770,17,91
311,69,187
469,14,343
740,34,701
525,70,175
149,71,104
497,13,331
456,66,414
222,16,14
103,23,27
422,74,312
839,22,70
751,80,233
813,83,330
168,51,2
698,67,567
683,58,291
539,93,124
565,95,239
404,15,239
374,26,1
858,9,15
630,92,362
223,8,213
295,2,79
831,46,30
61,39,48
764,71,575
291,11,170
110,7,11
703,37,319
508,54,291
898,81,621
911,85,354
714,42,467
85,64,22
362,55,268
175,32,163
550,15,28
622,99,300
198,19,110
372,91,306
205,74,157
42,35,5
722,45,401
316,56,119
396,81,334
199,55,38
188,85,42
323,95,209
609,22,123
177,49,134
943,14,136
693,74,112
429,16,113
762,45,725
777,62,735
941,86,740
770,11,599
534,34,14
987,74,136
387,62,46
707,49,576
269,25,21
774,91,54
725,78,330
583,92,284
109,55,56
848,53,275
938,46,514
842,84,740
689,23,633
151,45,7
257,33,14
731,86,154
449,24,211
887,87,238
336,18,83
273,14,120
121,4,118
312,90,16
232,96,139
120,31,53
893,31,490
309,99,200
935,69,868
477,6,106
52,1,52
807,8,473
985,77,466
677,81,654
34,19,6
319,18,109
285,72,223
124,95,50
801,24,41
840,15,157
265,87,232
341,96,108
743,34,61
375,35,113
409,42,227
63,40,55
255,47,162
826,22,620
991,36,752
40,38,19
595,42,55
185,29,50
662,71,436
112,74,55
410,46,377
434,76,202
50,43,47
273,96,30
672,83,473
241,33,234
230,14,29
643,23,237
990,7,334
838,51,41
244,53,244
958,65,289
296,65,182
30,9,21
924,54,515
59,44,57
940,27,492
898,73,623
558,17,453
320,9,214
82,8,41
778,93,118
31,30,28
269,1,269
507,75,190
597,21,467
731,70,233
843,8,761
15,11,12
249,67,89
211,24,159
526,90,388
531,96,299
297,5,98
321,97,242
192,98,183
997,32,653
455,20,254
551,89,410
538,91,95
576,88,393
815,76,814
533,49,68
908,97,903
822,97,329
823,54,302
382,11,166
532,61,214
689,83,526
127,66,46
476,71,202
887,94,681
642,72,501
286,22,278
334,58,113
113,53,81
611,13,148
920,48,683
886,47,418
299,43,163
802,51,669
951,10,567
961,88,419
83,8,49
62,60,50
568,24,558
566,49,21
181,23,160
920,77,233
633,49,291
350,44,43
133,33,93
655,38,575
46,46,37
492,56,451
88,11,6
28,17,21
251,29,238
266,44,56
434,12,275
209,87,80
128,67,28
353,68,66
648,48,68
654,1,654
605,29,593
436,63,412
975,87,437
146,84,122
54,1,54
235,86,73
799,26,279
848,41,478
859,15,442
151,82,41
383,26,235
395,78,171
702,19,649
325,24,287
781,73,453
235,83,35
343,16,274
213,19,192
866,89,635
294,21,82
134,36,113
300,15,85
557,47,505
728,8,589
475,98,53
47,20,23
307,1,307
390,58,94
946,66,629
232,79,14
477,68,230
67,3,62
522,5,442
446,34,446
905,7,682
684,64,240
260,73,241
9,6,7
171,50,66
358,81,263
910,48,203
108,14,103
992,58,867
677,31,72
865,20,59
255,5,166
782,3,749
584,37,404
113,3,25
637,18,273
255,65,3
984,49,823
614,79,221
265,98,78
95,80,27
483,51,122
935,40,102
485,30,297
635,13,460
569,94,163
89,33,63
871,34,354
795,41,755
608,10,214
316,82,92
84,4,62
985,94,551
995,48,461
910,89,106
496,18,24
989,1,989
7,4,2
743,5,326
158,41,99
546,11,94
40,24,36
782,77,647
244,32,91
902,68,405
232,33,171
263,67,259
241,52,91
75,37,1
61,26,58
898,74,175
193,44,56
276,27,24
11,1,11
913,69,273
898,7,633
757,1,757
880,29,575
867,16,132
225,68,188
943,21,137
124,19,115
176,48,53
964,88,683
880,18,64
795,47,347
865,61,679
746,7,377
150,14,57
818,2,613
300,36,116
830,49,489
155,51,149
734,81,345
201,65,141
206,90,199
384,80,13
175,49,36
627,28,101
659,72,427
159,24,19
794,53,691
505,41,299
222,66,186
109,12,87
215,41,13
865,28,865
128,65,86
673,15,655
519,75,59
49,17,41
650,24,97
976,52,316
642,5,499
147,52,144
967,3,505
56,32,13
970,36,967
601,1,601
988,87,586
578,60,117
255,80,137
1000,76,435
894,5,233
259,56,92
753,40,426
626,61,147
67,41,2
186,27,123
63,3,50
137,49,50
730,40,249
660,21,552
168,37,50
285,26,24
525,41,85
51,36,40
833,42,36
720,42,719
46,21,22
589,24,493
281,78,23
200,85,88
93,79,53
952,71,240
173,37,63
703,91,258
688,83,443
558,22,181
836,17,400
83,43,23
281,91,132
454,43,121
110,57,38
375,97,275
390,22,246
786,50,602
916,99,532
503,82,64
221,72,141
458,58,215
792,97,645
229,98,19
809,47,200
184,39,20
21,17,2
50,31,48
211,81,57
502,73,284
351,73,229
492,37,217
817,100,635
269,69,184
800,72,400
446,65,12
194,74,140
483,95,298
683,54,272
442,54,60
450,76,88
191,85,107
790,76,513
50,32,35
394,58,326
263,95,68
971,2,919
225,58,150
573,44,311
381,63,201
461,92,13
658,41,196
533,37,192
645,41,317
172,81,149
556,2,89
285,33,118
257,85,148
614,82,224
911,87,526
238,15,222
537,44,388
871,30,754
974,78,314
748,16,648
162,28,1
101,50,44
295,32,102
837,67,738
